name,series,family,VCPUs,ram,local_ssd_support,local_ssd_enabled_by_default,local_ssd_default_size,cpu_platforms,gpu_support,gpu_count_by_default,default_gpu,default_network_bandwidth,tier1_network_bandwidth,nested_virtualization_support
m3-ultramem-32,m3,Memory Optimized,32,976,1,0,,"Ice Lake",0,0,,32,,1
m3-ultramem-64,m3,Memory Optimized,64,1952,1,0,,"Ice Lake",0,0,,32,50,1
m3-ultramem-128,m3,Memory Optimized,128,3904,1,0,,"Ice Lake",0,0,,32,100,1
m3-megamem-64,m3,Memory Optimized,64,976,1,0,,"Ice Lake",0,0,,32,50,1
m3-megamem-128,m3,Memory Optimized,128,976,1,0,,"Ice Lake",0,0,,32,100,1
m2-ultramem-208,m2,Memory Optimized,208,5888,0,0,,"Cascade Lake",0,0,,32,,1
m2-ultramem-416,m2,Memory Optimized,416,11776,0,0,,"Cascade Lake",0,0,,32,,1
m2-megamem-416,m2,Memory Optimized,416,5888,0,0,,"Cascade Lake",0,0,,32,,1
m2-hypermem-416,m2,Memory Optimized,416,8832,0,0,,"Cascade Lake",0,0,,32,,1
m1-ultramem-40,m1,Memory Optimized,40,961,1,0,,"Skylake",0,0,,32,,1
m1-ultramem-80,m1,Memory Optimized,80,1922,1,0,,"Skylake",0,0,,32,,1
m1-ultramem-160,m1,Memory Optimized,160,3844,1,0,,"Skylake",0,0,,32,,1
m1-megamem-96,m1,Memory Optimized,96,1433.6,1,0,,"Cascade Lake",0,0,,32,,1